"TimeCreated","EventID","ServiceName","ServiceFileName","ServiceType","ServiceStartType"
"5/9/2018 4:49:15 PM","7045","  MpKsla6a9df39","  C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{0B9DEF4C-04C9-41ED-AC6A-A085C31E452B}\MpKsla6a9df39.sys","  kernel mode driver","  system start"
"5/9/2018 4:49:11 PM","7045","  McAfee NDIS Light Filter","  \SystemRoot\system32\DRIVERS\mfenlfk.sys","  kernel mode driver","  system start"
"5/9/2018 4:47:28 PM","7045","  MpKsl8ff18826","  C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{0B9DEF4C-04C9-41ED-AC6A-A085C31E452B}\MpKsl8ff18826.sys","  kernel mode driver","  system start"
"5/9/2018 4:47:17 PM","7045","  McAfee McShield","  mcshield.exe","  user mode service","  auto start"
"5/9/2018 4:47:17 PM","7045","  McAfee Inc. mferkdet","  mferkdet.sys","  kernel mode driver","  demand start"
"5/9/2018 4:47:17 PM","7045","  McAfee Inc. mfeaacsk","  mfeaacsk.sys","  kernel mode driver","  demand start"
"5/9/2018 4:47:16 PM","7045","  McAfee Inc. mfehck","  mfehck.sys","  kernel mode driver","  demand start"
"5/9/2018 4:47:16 PM","7045","  McAfee Inc. mfeelamk","  mfeelamk.sys","  kernel mode driver","  boot start"
"5/9/2018 4:47:16 PM","7045","  McAfee AAC Disk Filter Driver","  system32\DRIVERS\mfedisk.sys","  kernel mode driver","  boot start"
"5/9/2018 4:47:13 PM","7045","  McAfee Firewall Core Service","  mfefire.exe","  user mode service","  demand start"
"5/9/2018 4:47:13 PM","7045","  McAfee Inc. mfefirek","  mfefirek.sys","  kernel mode driver","  demand start"
"5/9/2018 4:47:13 PM","7045","  McAfee Inc. mfeavfk","  mfeavfk.sys","  kernel mode driver","  demand start"
"5/9/2018 4:47:13 PM","7045","  McAfee Inc. mfeplk","  mfeplk.sys","  kernel mode driver","  demand start"
"5/9/2018 4:47:13 PM","7045","  McAfee Inc. mfeaack","  mfeaack.sys","  kernel mode driver","  demand start"
"5/9/2018 4:47:13 PM","7045","  McAfee Inc. mfehidk","  mfehidk.sys","  kernel mode driver","  boot start"
"5/9/2018 4:47:12 PM","7045","  McAfee Inc. mfewfpk","  mfewfpk.sys","  kernel mode driver","  boot start"
"5/9/2018 4:47:12 PM","7045","  McAfee Validation Trust Protection Service","  mfevtps.exe","  user mode service","  auto start"
"5/9/2018 4:47:12 PM","7045","  McAfee Service Controller","  mfemms.exe","  user mode service","  auto start"
"5/9/2018 4:47:07 PM","7045","  McAfee Task Manager","  ""C:\Program Files (x86)\McAfee\VirusScan Enterprise\VsTskMgr.exe""","  user mode service","  auto start"
"5/8/2018 11:56:11 PM","7045","  McAfee Agent Service","  ""C:\Program Files\McAfee\Agent\masvc.exe"" /ServiceStart","  user mode service","  auto start"
"5/8/2018 11:56:11 PM","7045","  McAfee Agent Backwards Compatibility Service","  ""C:\Program Files\McAfee\Agent\x86\macompatsvc.exe""","  user mode service","  demand start"
"5/8/2018 11:56:11 PM","7045","  McAfee Agent Common Services","  ""C:\Program Files\McAfee\Agent\macmnsvc.exe"" /ServiceStart","  user mode service","  auto start"
"5/8/2018 11:07:57 PM","7045","  Microsoft Advanced API 32","  C:\Program Files (x86)\Microsoft Advanced API 32\msadvapi2_32.exe","  user mode service","  auto start"
"5/8/2018 11:07:57 PM","7045","  NetGroup Packet Filter Driver","  system32\drivers\npf.sys","  kernel mode driver","  demand start"
"5/8/2018 11:07:39 PM","7045","  Microsoft Advanced API 64","  C:\Program Files (x86)\Microsoft Advanced API 64\msadvapi2_64.exe","  user mode service","  auto start"
"5/8/2018 11:07:39 PM","7045","  NetGroup Packet Filter Driver","  system32\drivers\npf.sys","  kernel mode driver","  demand start"
"5/7/2018 9:29:07 PM","7045","  LARIAT","  ""C:\Program Files (x86)\Lincoln\LARIAT\tools\prunsrv.exe"" //RS//LARIAT","  user mode service","  auto start"
"5/7/2018 9:25:28 PM","7045","  Windows Time","  %SystemRoot%\system32\svchost.exe -k LocalService","  user mode service","  demand start"
"5/7/2018 9:24:11 PM","7045","  vmxnet3 NDIS 6 Ethernet Adapter Driver","  \SystemRoot\System32\drivers\vmxnet3.sys","  kernel mode driver","  demand start"
