TimeGenerated,EventID,AccountName,AccountDomain,ServiceName,SourceIP,SourcePort
2016-10-06 06:49:18,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 06:56:59,4769,WIN7_64JP_02$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_02$,::ffff:192.168.16.102,49287
2016-10-06 07:02:54,4769,WIN7_64JP_01$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_01$,::ffff:192.168.16.101,49429
2016-10-06 07:04:19,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 07:19:20,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 07:20:52,4769,WIN7_64JP_03$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_03$,::ffff:192.168.16.103,49299
2016-10-06 07:34:22,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 07:37:51,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 07:37:51,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 07:37:51,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 07:37:51,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 07:49:13,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 07:49:13,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,krbtgt,::1,0
2016-10-06 07:49:23,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 08:04:25,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 08:19:26,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 08:32:01,4769,WIN7_64JP_02$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_02$,::ffff:192.168.16.102,49322
2016-10-06 08:33:55,4769,WIN7_64JP_01$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_01$,::ffff:192.168.16.101,49517
2016-10-06 08:34:27,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 08:49:29,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 09:04:30,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 09:18:54,4769,WIN7_64JP_03$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_03$,::ffff:192.168.16.103,49328
2016-10-06 09:19:32,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 09:34:33,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 09:49:35,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 10:04:36,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 10:07:56,4769,WIN7_64JP_01$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_01$,::ffff:192.168.16.101,49594
2016-10-06 10:19:37,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 10:31:02,4769,WIN7_64JP_02$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_02$,::ffff:192.168.16.102,49363
2016-10-06 10:34:39,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 10:49:40,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 10:57:55,4769,WIN7_64JP_03$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_03$,::ffff:192.168.16.103,49347
2016-10-06 11:04:42,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 11:19:43,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 11:23:57,4769,WIN7_64JP_01$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_01$,::ffff:192.168.16.101,49668
2016-10-06 11:23:57,4769,WIN7_64JP_01$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_01$,::ffff:192.168.16.101,49669
2016-10-06 11:34:45,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 11:36:01,4769,WIN7_64JP_02$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_02$,::ffff:192.168.16.102,49392
2016-10-06 11:36:01,4769,WIN7_64JP_02$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_02$,::ffff:192.168.16.102,49393
2016-10-06 11:45:57,4769,WIN7_64JP_03$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_03$,::ffff:192.168.16.103,49357
2016-10-06 11:45:57,4769,WIN7_64JP_03$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_03$,::ffff:192.168.16.103,49358
2016-10-06 11:49:46,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 12:04:47,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 12:09:03,4769,WIN7_64JP_02$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_02$,::ffff:192.168.16.102,49406
2016-10-06 12:19:49,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 12:34:50,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 12:38:56,4769,WIN7_64JP_03$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_03$,::ffff:192.168.16.103,49375
2016-10-06 12:49:52,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 12:53:57,4769,WIN7_64JP_01$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,krbtgt,::ffff:192.168.16.101,49758
2016-10-06 13:04:53,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 13:06:01,4769,WIN7_64JP_02$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,krbtgt,::ffff:192.168.16.102,49431
2016-10-06 13:08:57,4769,WIN7_64JP_01$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::ffff:192.168.16.101,49774
2016-10-06 13:15:56,4769,WIN7_64JP_03$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,krbtgt,::ffff:192.168.16.103,49381
2016-10-06 13:19:54,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 13:21:01,4769,WIN7_64JP_02$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::ffff:192.168.16.102,49436
2016-10-06 13:27:58,4769,WIN7_64JP_01$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::ffff:192.168.16.101,49787
2016-10-06 13:27:58,4769,WIN7_64JP_01$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_01$,::ffff:192.168.16.101,49789
2016-10-06 13:27:58,4769,WIN7_64JP_01$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_01$,::ffff:192.168.16.101,49790
2016-10-06 13:27:59,4769,WIN7_64JP_01$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::ffff:192.168.16.101,49794
2016-10-06 13:27:59,4769,WIN7_64JP_01$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,krbtgt,::ffff:192.168.16.101,49795
2016-10-06 13:30:56,4769,WIN7_64JP_03$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::ffff:192.168.16.103,49384
2016-10-06 13:31:07,4769,chiyoda.tokyo@EXAMPLE.CO.JP,EXAMPLE.CO.JP,krbtgt/EXAMPLE.CO.JP,::ffff:192.168.16.101,49804
2016-10-06 13:31:07,4769,chiyoda.tokyo@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::ffff:192.168.16.101,49807
2016-10-06 13:31:07,4769,chiyoda.tokyo@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::ffff:192.168.16.101,49810
2016-10-06 13:31:07,4769,chiyoda.tokyo@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::ffff:192.168.16.101,49813
2016-10-06 13:31:07,4769,chiyoda.tokyo@EXAMPLE.CO.JP,EXAMPLE.CO.JP,krbtgt,::ffff:192.168.16.101,49814
2016-10-06 13:34:56,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 13:48:14,4769,urayasu.chiba@EXAMPLE.CO.JP,EXAMPLE.CO.JP,krbtgt/EXAMPLE.CO.JP,::ffff:192.168.16.103,49388
2016-10-06 13:48:14,4769,urayasu.chiba@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::ffff:192.168.16.103,49392
2016-10-06 13:48:14,4769,urayasu.chiba@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::ffff:192.168.16.103,49394
2016-10-06 13:48:14,4769,urayasu.chiba@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::ffff:192.168.16.103,49397
2016-10-06 13:48:14,4769,urayasu.chiba@EXAMPLE.CO.JP,EXAMPLE.CO.JP,krbtgt,::ffff:192.168.16.103,49398
2016-10-06 13:49:57,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 13:51:04,4769,WIN7_64JP_02$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::ffff:192.168.16.102,49445
2016-10-06 13:51:04,4769,WIN7_64JP_02$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_02$,::ffff:192.168.16.102,49447
2016-10-06 13:51:04,4769,WIN7_64JP_02$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_02$,::ffff:192.168.16.102,49448
2016-10-06 13:51:04,4769,WIN7_64JP_02$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::ffff:192.168.16.102,49452
2016-10-06 13:51:04,4769,WIN7_64JP_02$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,krbtgt,::ffff:192.168.16.102,49453
2016-10-06 14:04:59,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 14:15:29,4769,,,,::ffff:192.168.16.102,49463
2016-10-06 14:15:29,4769,yokohama.kanagawa@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::ffff:192.168.16.102,49466
2016-10-06 14:15:30,4769,yokohama.kanagawa@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::ffff:192.168.16.102,49469
2016-10-06 14:15:30,4769,yokohama.kanagawa@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::ffff:192.168.16.102,49472
2016-10-06 14:15:30,4769,yokohama.kanagawa@EXAMPLE.CO.JP,EXAMPLE.CO.JP,krbtgt,::ffff:192.168.16.102,49473
2016-10-06 14:17:57,4769,WIN7_64JP_03$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::ffff:192.168.16.103,49403
2016-10-06 14:17:57,4769,WIN7_64JP_03$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_03$,::ffff:192.168.16.103,49405
2016-10-06 14:17:57,4769,WIN7_64JP_03$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::ffff:192.168.16.103,49408
2016-10-06 14:17:57,4769,WIN7_64JP_03$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,krbtgt,::ffff:192.168.16.103,49409
2016-10-06 14:17:57,4769,WIN7_64JP_03$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_03$,::ffff:192.168.16.103,49410
2016-10-06 14:20:00,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 14:35:02,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 14:50:03,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 14:54:05,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,krbtgt,::1,0
2016-10-06 15:00:00,4769,WIN7_64JP_01$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_01$,::ffff:192.168.16.101,49892
2016-10-06 15:05:04,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 15:10:05,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 15:11:27,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 15:11:27,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 15:11:27,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 15:20:06,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 15:35:07,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 15:37:51,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 15:37:51,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 15:37:51,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 15:37:51,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 15:45:05,4769,WIN7_64JP_02$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_02$,::ffff:192.168.16.102,49499
2016-10-06 15:50:09,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 15:58:58,4769,WIN7_64JP_03$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_03$,::ffff:192.168.16.103,49429
2016-10-06 16:04:21,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 16:05:10,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 16:20:11,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 16:32:01,4769,WIN7_64JP_01$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_01$,::ffff:192.168.16.101,49975
2016-10-06 16:35:13,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 16:50:14,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 17:05:16,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 17:20:17,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 17:35:19,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 17:38:00,4769,WIN7_64JP_03$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_03$,::ffff:192.168.16.103,49449
2016-10-06 17:42:07,4769,WIN7_64JP_02$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_02$,::ffff:192.168.16.102,49546
2016-10-06 17:50:20,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 18:05:02,4769,WIN7_64JP_01$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_01$,::ffff:192.168.16.101,50066
2016-10-06 18:05:21,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 18:20:23,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 18:35:24,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 18:50:26,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 19:05:27,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 19:20:29,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 19:21:08,4769,WIN7_64JP_02$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_02$,::ffff:192.168.16.102,49582
2016-10-06 19:23:58,4769,WIN7_64JP_01$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_01$,::ffff:192.168.16.101,50138
2016-10-06 19:23:58,4769,WIN7_64JP_01$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_01$,::ffff:192.168.16.101,50139
2016-10-06 19:35:01,4769,WIN7_64JP_03$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_03$,::ffff:192.168.16.103,49470
2016-10-06 19:35:30,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 19:36:02,4769,WIN7_64JP_02$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_02$,::ffff:192.168.16.102,49591
2016-10-06 19:45:58,4769,WIN7_64JP_03$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_03$,::ffff:192.168.16.103,49477
2016-10-06 19:50:31,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 19:52:03,4769,WIN7_64JP_01$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_01$,::ffff:192.168.16.101,50165
2016-10-06 20:05:33,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 20:20:33,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 20:35:36,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 20:50:37,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 21:05:38,4769,WIN-WFBHIBE5GXZ$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN-WFBHIBE5GXZ$,::1,0
2016-10-06 21:14:02,4769,WIN7_64JP_03$@EXAMPLE.CO.JP,EXAMPLE.CO.JP,WIN7_64JP_03$,::ffff:192.168.16.103,49494
